repo,plan,batch_era,tasks,mechanical,fanouts_now,nudge_pairs,fanouts_k2,fanouts_k2_loose,largest_component,fanouts_k2_cap3,fanouts_k2_cap4,fanouts_k2_cap5,fanouts_k2_cap6,parse_warnings
monkey-skills,2026-08-27-goal-create.md,False,12,0,12,1,11,4,2,11,11,11,11,
monkey-skills,2026-08-27-stage-specific-complexity-gates.md,False,9,0,9,0,9,1,1,9,9,9,9,
monkey-skills,2026-08-28-decision-map-layer.md,False,19,0,19,1,18,8,2,18,18,18,18,
monkey-skills,2026-08-28-independent-advisor.md,False,11,1,10,10,4,1,7,6,5,5,5,
monkey-skills,2026-08-28-review-loop-convergence.md,False,4,0,4,1,3,2,2,3,3,3,3,
monkey-skills,2026-08-29-decision-map-protocol-hardening.md,False,9,1,8,3,5,4,2,5,5,5,5,
monkey-skills,2026-08-29-direction-surfacing.md,False,4,0,4,0,4,4,1,4,4,4,4,
monkey-skills,2026-08-30-backlog-map-boundary-v2.md,False,14,0,14,7,7,3,4,8,7,7,7,
monkey-skills,2026-08-30-outcome-map-v3.md,False,26,0,26,17,9,2,13,13,12,11,11,
monkey-skills,2026-08-30-task-batch-review.md,True,9,0,8,2,6,1,4,7,6,6,6,
monkey-skills,2026-08-31-batch-review-hardening.md,True,7,0,5,0,5,1,3,5,5,5,5,
monkey-skills,2026-08-31-contract-repair-post-v3.md,True,19,0,15,9,10,1,6,12,12,11,10,
kumiko-zaiku-app-icons,2026-07-27-kumiko-icon-generator-part-1.md,False,7,0,7,7,1,1,7,3,2,2,2,
kumiko-zaiku-app-icons,2026-07-28-kumiko-icon-generator-part-2.md,False,7,0,7,0,7,1,1,7,7,7,7,
kumiko-zaiku-app-icons,2026-07-31-kumiko-icon-generator-part-3.md,False,8,0,8,0,8,1,1,8,8,8,8,
kumiko-zaiku-app-icons,2026-08-06-marukiwa-third-role.md,False,5,0,5,1,4,2,2,4,4,4,4,
kumiko-zaiku-app-icons,2026-08-07-container-re-examination.md,False,7,0,7,1,6,4,2,6,6,6,6,
kumiko-zaiku-app-icons,2026-08-07-rim-thickness-parameter.md,False,7,0,7,1,6,4,2,6,6,6,6,
kumiko-zaiku-app-icons,2026-08-10-kumiko-icon-generator-part-4.md,False,9,0,9,5,5,1,5,6,6,5,5,
kumiko-zaiku-app-icons,2026-08-12-per-slat-geometry-part-1.md,False,5,0,5,2,3,1,3,3,3,3,3,
kumiko-zaiku-app-icons,2026-08-12-per-slat-geometry-part-2.md,False,14,0,14,6,8,2,5,9,9,8,8,
kumiko-zaiku-app-icons,2026-08-14-light-wood-and-pattern-ratio-measurement.md,False,9,0,9,1,8,3,2,8,8,8,8,
kumiko-zaiku-app-icons,2026-08-14-render-look-and-paper-backing.md,False,10,0,10,6,5,1,6,6,6,6,5,
kumiko-zaiku-app-icons,2026-08-17-window-depth-and-inside-paper.md,False,7,0,7,5,2,2,6,3,3,3,2,
kumiko-zaiku-app-icons,2026-08-18-axonometric-perspective-and-grounded-slats.md,False,16,0,16,13,6,2,11,9,8,8,7,
kumiko-zaiku-app-icons,2026-08-20-light-wood-and-darker-inside-paper.md,False,12,0,12,2,10,1,2,10,10,10,10,
kumiko-zaiku-app-icons,2026-08-24-non-circular-container.md,False,14,0,14,6,8,4,6,9,9,9,8,
meeting-emo-transcriber,2026-04-04-phase2-embedded-audio-asr.md,False,10,0,10,0,10,10,1,10,10,10,10,Task 1: no Files touched field; Task 1: no Dependencies field (treated as none); Task 2: no Files touched field; Task 2: no Dependencies field (treated as none); Task 3: no Files touched field; Task 3: no Dependencies field (treated as none); Task 4: no Files touched field; Task 4: no Dependencies field (treated as none); Task 5: no Files touched field; Task 5: no Dependencies field (treated as none); Task 6: no Files touched field; Task 6: no Dependencies field (treated as none); Task 7: no Files touched field; Task 7: no Dependencies field (treated as none); Task 8: no Files touched field; Task 8: no Dependencies field (treated as none); Task 9: no Files touched field; Task 9: no Dependencies field (treated as none); Task 10: no Files touched field; Task 10: no Dependencies field (treated as none)
meeting-emo-transcriber,2026-04-04-phase3-speaker-emotion.md,False,7,0,7,0,7,7,1,7,7,7,7,Task 1: no Files touched field; Task 1: no Dependencies field (treated as none); Task 2: no Files touched field; Task 2: no Dependencies field (treated as none); Task 3: no Files touched field; Task 3: no Dependencies field (treated as none); Task 4: no Files touched field; Task 4: no Dependencies field (treated as none); Task 5: no Files touched field; Task 5: no Dependencies field (treated as none); Task 6: no Files touched field; Task 6: no Dependencies field (treated as none); Task 7: no Files touched field; Task 7: no Dependencies field (treated as none)
meeting-emo-transcriber,2026-04-04-phase4-discovery-verify.md,False,5,0,5,0,5,5,1,5,5,5,5,Task 1: no Files touched field; Task 1: no Dependencies field (treated as none); Task 2: no Files touched field; Task 2: no Dependencies field (treated as none); Task 3: no Files touched field; Task 3: no Dependencies field (treated as none); Task 4: no Files touched field; Task 4: no Dependencies field (treated as none); Task 5: no Files touched field; Task 5: no Dependencies field (treated as none)
meeting-emo-transcriber,2026-04-05-diarization-refactor.md,False,6,0,6,0,6,6,1,6,6,6,6,Task 1: no Files touched field; Task 1: no Dependencies field (treated as none); Task 2: no Files touched field; Task 2: no Dependencies field (treated as none); Task 3: no Files touched field; Task 3: no Dependencies field (treated as none); Task 4: no Files touched field; Task 4: no Dependencies field (treated as none); Task 5: no Files touched field; Task 5: no Dependencies field (treated as none); Task 6: no Files touched field; Task 6: no Dependencies field (treated as none)
reading-list-summarize-scraper,2026-03-28-reading-list-summarize-scraper.md,False,18,0,18,0,18,18,1,18,18,18,18,Task 1: no Files touched field; Task 1: no Dependencies field (treated as none); Task 2: no Files touched field; Task 2: no Dependencies field (treated as none); Task 3: no Files touched field; Task 3: no Dependencies field (treated as none); Task 4: no Files touched field; Task 4: no Dependencies field (treated as none); Task 5: no Files touched field; Task 5: no Dependencies field (treated as none); Task 6: no Files touched field; Task 6: no Dependencies field (treated as none); Task 7: no Files touched field; Task 7: no Dependencies field (treated as none); Task 8: no Files touched field; Task 8: no Dependencies field (treated as none); Task 9: no Files touched field; Task 9: no Dependencies field (treated as none); Task 10: no Files touched field; Task 10: no Dependencies field (treated as none); Task 11: no Files touched field; Task 11: no Dependencies field (treated as none); Task 12: no Files touched field; Task 12: no Dependencies field (treated as none); Task 13: no Files touched field; Task 13: no Dependencies field (treated as none); Task 14: no Files touched field; Task 14: no Dependencies field (treated as none); Task 15: no Files touched field; Task 15: no Dependencies field (treated as none); Task 16: no Files touched field; Task 16: no Dependencies field (treated as none); Task 17: no Files touched field; Task 17: no Dependencies field (treated as none); Task 18: no Files touched field; Task 18: no Dependencies field (treated as none)
reading-list-summarize-scraper,2026-05-31-antigravity-cli-provider.md,False,6,0,6,1,5,1,2,5,5,5,5,
reading-list-summarize-scraper,2026-06-15-paginated-article-extraction.md,False,6,0,6,0,6,1,1,6,6,6,6,
reading-list-summarize-scraper,2026-06-15-rss-source.md,False,4,0,4,0,4,1,1,4,4,4,4,
reading-list-summarize-scraper,2026-06-19-summary-prompt-styles.md,False,5,0,5,0,5,1,1,5,5,5,5,
youtube-summarize-scraper,2026-06-14-two-tier-duration-limits.md,False,8,0,8,4,5,1,3,5,5,5,5,
youtube-summarize-scraper,2026-06-29-lmstudio-ha-multi-instance.md,False,4,0,4,0,4,1,1,4,4,4,4,
redshift-comment-mcp,2026-06-11-plugin-userconfig.md,False,4,0,4,1,3,2,2,3,3,3,3,
redshift-comment-mcp,2026-06-12-mcpb-companion.md,False,5,0,5,0,5,3,1,5,5,5,5,
intellij-dbtree,2026-05-10-elk-migration.md,False,14,0,14,0,14,14,1,14,14,14,14,Task 0: no Files touched field; Task 0: no Dependencies field (treated as none); Task 1: no Files touched field; Task 1: no Dependencies field (treated as none); Task 2: no Files touched field; Task 2: no Dependencies field (treated as none); Task 3: no Files touched field; Task 3: no Dependencies field (treated as none); Task 4: no Files touched field; Task 4: no Dependencies field (treated as none); Task 5: no Files touched field; Task 5: no Dependencies field (treated as none); Task 6: no Files touched field; Task 6: no Dependencies field (treated as none); Task 7: no Files touched field; Task 7: no Dependencies field (treated as none); Task 8: no Files touched field; Task 8: no Dependencies field (treated as none); Task 9: no Files touched field; Task 9: no Dependencies field (treated as none); Task 10: no Files touched field; Task 10: no Dependencies field (treated as none); Task 11: no Files touched field; Task 11: no Dependencies field (treated as none); Task 12: no Files touched field; Task 12: no Dependencies field (treated as none); Task 13: no Files touched field; Task 13: no Dependencies field (treated as none)
